country_name,region,income_group,year,cohort_size,coverage,cancer_prevented,deaths_prevented,assumption_type,possible_cancer_cases,possible_cancer_deaths
Afghanistan,South Asia,Low income,2021,579118.68,0,0,0,Attain WHO Coverage Goal,4221.86,3275.27
Angola,Sub-Saharan Africa,Lower middle income,2021,536273.19,0,0,0,Attain WHO Coverage Goal,14022.07,10275.75
Albania,Europe & Central Asia,Upper middle income,2021,14784.56,0,0,0,Attain WHO Coverage Goal,87.46,53.24
United Arab Emirates,Middle East & North Africa,High income,2021,47220.45,0,0,0,Attain WHO Coverage Goal,361.86,273.52
Argentina,Latin America & Caribbean,Upper middle income,2021,360942.35,0.53,2598.29,1726.17,Attain WHO Coverage Goal,4954.45,3261.47
Armenia,Europe & Central Asia,Upper middle income,2021,19495.94,0.08,13.24,9.91,Attain WHO Coverage Goal,163.52,121.1
Australia,East Asia & Pacific,High income,2021,161507.31,0.66,522.02,283.13,Attain WHO Coverage Goal,812.85,445.61
Austria,Europe & Central Asia,High income,2021,41069.09,0,0,0,Attain WHO Coverage Goal,228.89,120.66
Azerbaijan,Europe & Central Asia,Upper middle income,2021,70526.23,0,0,0,Attain WHO Coverage Goal,423.06,286.28
Burundi,Sub-Saharan Africa,Low income,2021,180973.05,0,0,0,Attain WHO Coverage Goal,6131.14,5131.21
Belgium,Europe & Central Asia,High income,2021,66275.15,0.7,325.05,149.84,Attain WHO Coverage Goal,473.9,218.21
Benin,Sub-Saharan Africa,Lower middle income,2021,173761.39,0,0,0,Attain WHO Coverage Goal,1744.37,1287.93
Burkina Faso,Sub-Saharan Africa,Low income,2021,325418.63,0,0,0,Attain WHO Coverage Goal,3675.44,3056.1
Bangladesh,South Asia,Lower middle income,2021,1559093.74,0,0,0,Attain WHO Coverage Goal,12614.64,8845.43
Bulgaria,Europe & Central Asia,Upper middle income,2021,37142.38,0.03,16.43,9.24,Attain WHO Coverage Goal,553.81,305.86
Bahrain,Middle East & North Africa,High income,2021,9717.91,0,0,0,Attain WHO Coverage Goal,46.8,30.99
"Bahamas, The",Latin America & Caribbean,High income,2021,3128.82,0,0,0,Attain WHO Coverage Goal,50.09,36.81
Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,2021,18104.85,0,0,0,Attain WHO Coverage Goal,183.89,103.07
Belarus,Europe & Central Asia,Upper middle income,2021,49121.64,0,0,0,Attain WHO Coverage Goal,461.95,213.8
Belize,Latin America & Caribbean,Upper middle income,2021,3779.84,0.04,3.06,2.99,Attain WHO Coverage Goal,77.6,75.72
Bolivia,Latin America & Caribbean,Lower middle income,2021,121764.91,0.36,1059.01,726.92,Attain WHO Coverage Goal,3068.53,2351.08
Brazil,Latin America & Caribbean,Upper middle income,2021,1476779.08,0.67,12650.56,7617.49,Attain WHO Coverage Goal,19389.39,11768.23
Barbados,Latin America & Caribbean,High income,2021,1716.5,0.28,8.5,5.79,Attain WHO Coverage Goal,31.55,21.48
Brunei Darussalam,East Asia & Pacific,High income,2021,3051.81,0.89,37.63,12.35,Attain WHO Coverage Goal,43.18,14.18
Bhutan,South Asia,Lower middle income,2021,6802.3,0.88,66.41,44.82,Attain WHO Coverage Goal,73.26,49.1
Botswana,Sub-Saharan Africa,Upper middle income,2021,26625.5,0.22,152.51,102.61,Attain WHO Coverage Goal,816.6,572.09
Central African Republic,Sub-Saharan Africa,Low income,2021,80688.8,0,0,0,Attain WHO Coverage Goal,982.23,808.34
